datetime,Device,rrqm/s,wrqm/s,r/s,w/s,rkB/s,wkB/s,avgrq-sz,avgqu-sz,await,r_await,w_await,svctm,%util
14/07/18 16:39:47,dm-2,0.0,0.0,1480.0,0.0,11840.0,0.0,16.0,0.68,0.46,0.46,0.0,0.37,54.5
14/07/18 16:39:48,dm-2,0.0,0.0,1341.0,0.0,10720.0,0.0,15.99,0.55,0.41,0.41,0.0,0.31,41.8
14/07/18 16:39:49,dm-2,0.0,0.0,627.0,0.0,5008.0,0.0,15.97,0.26,0.42,0.42,0.0,0.37,22.9
14/07/18 16:39:50,dm-2,0.0,0.0,619.0,0.0,4944.0,0.0,15.97,0.25,0.4,0.4,0.0,0.37,22.7
14/07/18 16:39:51,dm-2,0.0,0.0,720.0,0.0,5760.0,0.0,16.0,0.29,0.41,0.41,0.0,0.37,26.3
14/07/18 16:39:52,dm-2,0.0,0.0,1197.0,0.0,9576.0,0.0,16.0,0.5,0.42,0.42,0.0,0.34,40.6
14/07/18 16:39:53,dm-2,0.0,0.0,1005.0,0.0,8040.0,0.0,16.0,0.42,0.42,0.42,0.0,0.36,36.1
14/07/18 16:39:54,dm-2,0.0,0.0,680.0,2.0,5440.0,48.0,16.09,0.29,0.43,0.43,0.0,0.4,27.3
14/07/18 16:39:55,dm-2,0.0,0.0,1065.0,0.0,8512.0,0.0,15.98,0.41,0.39,0.39,0.0,0.32,34.3
14/07/18 16:39:56,dm-2,0.0,0.0,1964.0,0.0,15712.0,0.0,16.0,0.76,0.39,0.39,0.0,0.29,57.1
14/07/18 16:39:57,dm-2,0.0,0.0,1211.0,0.0,9688.0,0.0,16.0,0.47,0.39,0.39,0.0,0.3,36.5
14/07/18 16:39:58,dm-2,0.0,0.0,2027.0,0.0,16216.0,0.0,16.0,0.8,0.4,0.4,0.0,0.29,59.4
14/07/18 16:39:59,dm-2,0.0,0.0,821.0,0.0,6568.0,0.0,16.0,0.35,0.42,0.42,0.0,0.36,29.5
14/07/18 16:40:00,dm-2,0.0,0.0,2846.0,0.0,22768.0,0.0,16.0,0.99,0.35,0.35,0.0,0.21,59.3
14/07/18 16:40:01,dm-2,0.0,0.0,1111.0,0.0,8880.0,0.0,15.99,0.44,0.4,0.4,0.0,0.32,35.9
14/07/18 16:40:02,dm-2,0.0,0.0,519.0,0.0,4152.0,0.0,16.0,0.23,0.44,0.44,0.0,0.4,21.0
14/07/18 16:40:03,dm-2,0.0,0.0,1884.0,0.0,15064.0,0.0,15.99,0.69,0.36,0.36,0.0,0.26,48.8
14/07/18 16:40:04,dm-2,0.0,0.0,1180.0,0.0,9424.0,0.0,15.97,0.49,0.41,0.41,0.0,0.35,40.9
14/07/18 16:40:05,dm-2,0.0,0.0,1330.0,0.0,10632.0,0.0,15.99,0.53,0.39,0.39,0.0,0.32,42.8
14/07/18 16:40:06,dm-2,0.0,0.0,597.0,0.0,4768.0,0.0,15.97,0.27,0.45,0.45,0.0,0.4,23.8
14/07/18 16:40:07,dm-2,0.0,0.0,2610.0,0.0,20872.0,0.0,15.99,0.98,0.38,0.38,0.0,0.27,69.8
14/07/18 16:40:08,dm-2,0.0,0.0,1300.0,0.0,10400.0,0.0,16.0,0.52,0.4,0.4,0.0,0.33,43.3
14/07/18 16:40:09,dm-2,0.0,0.0,1208.0,0.0,9664.0,0.0,16.0,0.49,0.4,0.4,0.0,0.33,39.4
14/07/18 16:40:10,dm-2,0.0,0.0,1182.0,0.0,9456.0,0.0,16.0,0.44,0.37,0.37,0.0,0.31,36.4
14/07/18 16:40:11,dm-2,0.0,0.0,651.0,0.0,5200.0,0.0,15.98,0.26,0.4,0.4,0.0,0.35,23.1
14/07/18 16:40:12,dm-2,0.0,0.0,970.0,0.0,7744.0,0.0,15.97,0.42,0.43,0.43,0.0,0.35,34.0
14/07/18 16:40:13,dm-2,0.0,0.0,1211.0,0.0,9688.0,0.0,16.0,0.47,0.39,0.39,0.0,0.33,39.8
14/07/18 16:40:14,dm-2,0.0,0.0,888.0,0.0,7104.0,0.0,16.0,0.36,0.4,0.4,0.0,0.34,30.4
14/07/18 16:40:15,dm-2,0.0,0.0,704.0,0.0,5632.0,0.0,16.0,0.31,0.44,0.44,0.0,0.39,27.3
14/07/18 16:40:16,dm-2,0.0,0.0,833.0,0.0,6664.0,0.0,16.0,0.36,0.44,0.44,0.0,0.39,32.3
14/07/18 16:40:17,dm-2,0.0,0.0,749.0,0.0,5992.0,0.0,16.0,0.32,0.42,0.42,0.0,0.37,27.4
14/07/18 16:40:18,dm-2,0.0,0.0,819.0,0.0,6552.0,0.0,16.0,0.35,0.43,0.43,0.0,0.39,32.2
14/07/18 16:40:19,dm-2,0.0,0.0,836.0,0.0,6688.0,0.0,16.0,0.35,0.42,0.42,0.0,0.36,30.1
14/07/18 16:40:20,dm-2,0.0,0.0,1010.0,0.0,8080.0,0.0,16.0,0.39,0.39,0.39,0.0,0.34,34.5
14/07/18 16:40:21,dm-2,0.0,0.0,1693.0,0.0,13536.0,0.0,15.99,0.79,0.47,0.47,0.0,0.33,56.3
14/07/18 16:40:22,dm-2,0.0,0.0,1530.0,0.0,12224.0,0.0,15.98,0.69,0.45,0.45,0.0,0.35,53.8
14/07/18 16:40:23,dm-2,0.0,0.0,1310.0,0.0,10480.0,0.0,16.0,0.65,0.5,0.5,0.0,0.38,49.9
14/07/18 16:40:24,dm-2,0.0,0.0,1451.0,15.0,11608.0,240.0,16.16,0.62,0.42,0.42,0.93,0.31,44.8
14/07/18 16:40:25,dm-2,0.0,0.0,684.0,0.0,5472.0,0.0,16.0,0.47,0.68,0.68,0.0,0.53,36.2
14/07/18 16:40:26,dm-2,0.0,0.0,1167.33,0.0,9330.69,0.0,15.99,0.47,0.41,0.41,0.0,0.32,36.93
